"Дата";"Регион";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день"
01.02.2022;Москва;2378884;1970326;39038;76;21533;7944
14.07.2020;Москва;230642;165966;4205;37;613;1012
03.04.2021;Москва;1032666;948845;16816;52;2011;1151
13.10.2020;Москва;339431;264500;5687;58;4618;1750
18.05.2021;Москва;1143100;1030199;19358;59;2430;2364
19.11.2021;Москва;1911956;1716433;33162;95;3371;6562
28.06.2021;Москва;1346183;1148291;22210;124;7246;4433
06.09.2020;Москва;266357;221370;4891;13;620;963
13.01.2022;Москва;2069957;1899550;37670;71;5490;2857
31.07.2021;Москва;1506126;1360030;25626;73;3514;4159
10.12.2020;Москва;671948;512969;9645;74;6730;5820
21.03.2020;Москва;137;8;0;0;6;3
15.11.2020;Москва;510214;367613;7787;75;6271;4266
21.08.2021;Москва;1553163;1425773;26927;55;1852;2544
12.03.2020;Москва;21;0;0;0;21;0
22.02.2021;Москва;969557;886273;14782;41;1723;1658
11.09.2021;Москва;1584581;1462853;27981;46;1940;1317
03.06.2020;Москва;187216;91654;2685;61;1842;3385
07.11.2021;Москва;1861624;1635844;32015;96;4975;5238
31.12.2020;Москва;809769;627368;11209;73;6566;6076
27.04.2020;Москва;45351;3524;435;31;2871;349
02.02.2022;Москва;2402668;1981801;39116;78;23784;11475
24.07.2020;Москва;236616;173854;4375;11;645;462
28.03.2021;Москва;1022551;941192;16498;52;1878;1151
04.04.2021;Москва;1034567;949843;16872;56;1901;998
13.07.2020;Москва;230029;164954;4168;25;672;394
20.11.2021;Москва;1915195;1722920;33255;93;3239;6487
17.05.2021;Москва;1140670;1027835;19299;57;3573;2041
14.10.2020;Москва;344004;266470;5739;52;4573;1970
12.01.2022;Москва;2064467;1896693;37599;66;4008;2826
05.09.2020;Москва;265737;220407;4878;11;671;1312
29.06.2021;Москва;1352392;1153145;22331;121;6209;4854
22.03.2020;Москва;191;8;0;0;54;0
11.12.2020;Москва;679163;518889;9722;77;7215;5920
30.07.2021;Москва;1502612;1355871;25553;76;3481;4574
22.08.2021;Москва;1554824;1427913;26978;51;1661;2140
14.11.2020;Москва;503943;363347;7712;69;6427;4423
04.06.2020;Москва;189214;94715;2749;64;1998;3061
10.09.2021;Москва;1582641;1461536;27935;48;1566;1443
23.02.2021;Москва;970755;887637;14831;49;1198;1364
26.04.2020;Москва;42480;3175;404;38;2971;128
30.12.2020;Москва;803203;621292;11136;72;5105;5896
08.11.2021;Москва;1866606;1641106;32112;97;4982;5262
19.04.2020;Москва;24324;1763;176;28;3570;84
30.10.2021;Москва;1809788;1588697;31248;97;7267;5506
08.01.2021;Москва;848452;680759;11799;71;5027;7067
11.06.2020;Москва;201221;115769;3138;53;1436;2236
14.02.2021;Москва;956178;869869;14348;58;1559;2089
19.09.2021;Москва;1601780;1473474;28347;49;2376;1215
23.11.2020;Москва;560579;410641;8379;71;6866;5064
13.08.2021;Москва;1537888;1404879;26482;59;2529;3043
29.03.2020;Москва;1014;28;6;1;197;10
08.08.2021;Москва;1527200;1389595;26189;63;2761;3052
02.12.2020;Москва;617439;464984;9053;75;5191;6575
05.01.2022;Москва;2040649;1880499;37116;71;2307;2648
06.07.2021;Москва;1399830;1194207;23115;114;5498;6019
29.08.2020;Москва;261038;212301;4798;12;677;1393
27.11.2021;Москва;1937409;1760697;33917;96;3430;5116
21.10.2020;Москва;377017;279973;6121;63;4389;2365
10.05.2021;Москва;1119284;1010652;18893;56;2896;1976
06.07.2020;Москва;225545;157652;3975;22;685;632
11.04.2021;Москва;1048316;960171;17248;56;2090;1388
21.03.2021;Москва;1011463;931296;16128;50;1511;1371
31.07.2020;Москва;241359;179168;4460;14;695;1260
07.01.2021;Москва;843425;673692;11728;76;4871;7410
31.10.2021;Москва;1817391;1593747;31342;94;7603;5050
18.04.2020;Москва;20754;1679;148;21;2649;162
18.09.2021;Москва;1599404;1472259;28298;51;2746;1280
15.02.2021;Москва;957996;871836;14404;56;1818;1967
12.06.2020;Москва;202935;118024;3187;49;1714;2255
14.08.2021;Москва;1540205;1407723;26539;57;2317;2844
22.11.2020;Москва;553713;405577;8308;75;6575;5245
03.12.2020;Москва;625189;471833;9126;73;7750;6849
07.08.2021;Москва;1524439;1386543;26126;67;2235;3576
30.03.2020;Москва;1226;28;6;0;212;0
28.08.2020;Москва;260361;210908;4786;10;654;1280
07.07.2021;Москва;1405451;1200695;23219;104;5621;6488
04.01.2022;Москва;2038342;1877851;37045;68;1967;2274
09.05.2021;Москва;1116388;1008676;18837;58;2828;2134
22.10.2020;Москва;381430;282492;6187;66;4413;2519
28.11.2021;Москва;1940495;1764835;34012;95;3086;4138
12.04.2021;Москва;1050149;961392;17302;54;1833;1221
05.07.2020;Москва;224860;157020;3953;24;650;561
01.08.2020;Москва;242049;180581;4473;13;690;1413
20.03.2021;Москва;1009952;929925;16078;54;1728;1769
16.02.2021;Москва;959405;873898;14464;60;1409;2062
21.09.2021;Москва;1606175;1475997;28447;52;1926;1300
13.06.2020;Москва;204428;119558;3231;44;1493;1534
28.10.2021;Москва;1795010;1578057;31058;95;8440;5232
06.01.2021;Москва;838554;666282;11652;70;5142;7206
17.04.2020;Москва;18105;1517;127;14;1959;123
06.08.2021;Москва;1522204;1382967;26059;65;2583;4043
30.11.2020;Москва;605724;452184;8902;74;6511;5073
27.03.2020;Москва;703;18;3;1;157;3
25.11.2020;Москва;571102;422189;8530;75;4685;5947
15.08.2021;Москва;1542159;1410177;26597;58;1954;2454
23.10.2020;Москва;386908;285271;6249;62;5478;2779
